date,datetime,desc,img,link,media,title
"Oct 2, 2019",2019-10-02,Moderna to Present Data From Two of Its Prophylactic mRNA Vaccines at IDWeek 2019. hMPV+PIV3: Phase 1 data show first combination vaccine against ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.businesswire.com/news/home/20191002005234/en/Moderna-to-Present-Data-From-Two-of-Its-Prophylactic-mRNA-Vaccines-at-IDWeek-2019,,Moderna to Present Data From Two of Its Prophylactic mRNA ...
"Oct 24, 2019",2019-10-24,"--(BUSINESS WIRE)--Moderna, Inc., (Nasdaq: MRNA) a clinical stage biotechnology company pioneering messenger RNA (mRNA) therapeutics and vaccines to ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.businesswire.com/news/home/20191024005884/en/Moderna-Named-Top-Employer-by-Science-for-Fifth-Consecutive-Year,,Moderna Named Top Employer by Science for Fifth ...
"Oct 22, 2019",2019-10-22,"--(BUSINESS WIRE)--Moderna, Inc., (Nasdaq: MRNA) a clinical stage biotechnology company pioneering messenger RNA (mRNA) therapeutics and vaccines to ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.businesswire.com/news/home/20191022006101/en/Moderna-Receives-FDA-Fast-Track-Designation-for-Propionic-Acidemia-Program-mRNA-3927,,Moderna Receives FDA Fast Track Designation for Propionic ...
"Oct 1, 2019",2019-10-01,"It's called Xclusive Taqueria Moderna, and it opened in September in the same plaza as Lola's Cafe. There appear to be three chefs involved: Manny Velasco, ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.ocregister.com/taco-tuesday-ladera-ranch-has-a-new-taco-joint-and-its-pretty-good,OCRegister,"Taco Tuesday: Ladera Ranch has a new taco joint, and it’s pretty good"
"Oct 8, 2019",2019-10-08,"Extrapolating from two institutional projects partly related to Moderna Museet in Stockholm in the late 1960s and early 1970s, two models of art-technology ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.e-flux.com/architecture/are-friends-electric/287544/autonomy-and-automation/,E-Flux,Autonomy and Automation - Architecture - e-flux
"Oct 21, 2019",2019-10-21,"Two more focused displays are on view at Stockholm's Moderna Museet well into 2020. Die-hard fans could even plan a doubleheader, returning to Sweden in ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.nytimes.com/2019/10/21/travel/stockholm-hilma-af-klint.html,The New York Times,"In Search of Hilma af Klint, Who Upended Art History, But Left Few Traces"
"Oct 4, 2019",2019-10-04,"50th St., most recently vacated by Moderna Kouzina (and Mozza Mia and Tejas before that). Nelson and Hesse have secured a lease on the property and will ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.startribune.com/upscale-st-paul-taqueria-is-opening-a-second-location-at-50th-and-france-in-edina/562192391/,Minneapolis Star Tribune,Upscale St. Paul taqueria is opening a second location at 50th ...
"Oct 23, 2019",2019-10-23,"One step downstream from DNA, Moderna has gone all-in on studying mRNA and the transcriptome. If errors in DNA transcription give rise to mutated mRNA ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.fool.com/investing/2019/10/23/has-your-portfolio-moved-beyond-genomics-yet.aspx,Motley Fool,Has Your Portfolio Moved Beyond Genomics Yet?
"Oct 25, 2019",2019-10-25,Photos. Moderna COVID-19 Vaccine in Anne Arundel County. News · Moderna COVID-19 Vaccine in Anne Arundel County. Frontline Health Care Staff at the ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.capitalgazette.com/photos/ac-cn-butterfly-release-20191025-ienaifqptvazvcohv7yjqb4iby-photogallery.html,Capital Gazette,Chrysalis House Butterfly Release
"Oct 30, 2019",2019-10-30,... and inspire them': Houston-area teen shares Moderna vaccine trial experience ... inspire them': Houston-area teen shares Moderna vaccine trial experience ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.khou.com/article/sports/mlb/astros/biggio-bagwell-watson-world-series-nationals-astros/285-5757d02c-9ad2-40cf-b1f5-a8a3bea72523,KHOU.com,"Craig Biggio, Jeff Bagwell and Matthew McConaughey will get the Minute Maid Game 7 party started"
