c,h,l,o,t,v
14.8,16.06,14.8,15.87,2019-10-01,1475509
14.85,15.01,14.42,14.78,2019-10-02,1626054
15.08,15.24,14.41,15.24,2019-10-03,1392218
15.48,15.57,14.89,15.05,2019-10-04,1812677
15.48,15.63,15.07,15.45,2019-10-07,2660670
15.32,15.48,15.01,15.36,2019-10-08,2335578
14.19,15.55,14.18,15.33,2019-10-09,4651340
14.16,14.41,13.87,14.13,2019-10-10,2570671
14.06,14.7,13.99,14.24,2019-10-11,1800610
13.93,14.2001,13.67,14.19,2019-10-14,1826902
14.32,14.45,13.53,13.93,2019-10-15,2192010
14.15,14.32,14.02,14.27,2019-10-16,1778131
14.53,14.72,14.15,14.23,2019-10-17,2276575
14.81,14.85,14.07,14.5,2019-10-18,3139914
15.5,15.59,14.94,15.03,2019-10-21,831978
15.91,16.09,15.55,15.56,2019-10-22,557869
16.84,17.01,16.09,16.16,2019-10-23,1424642
16.56,17.026,16.05,16.92,2019-10-24,1071009
16.99,17.1,16.4301,16.73,2019-10-25,712026
17.04,17.15,16.8094,17.01,2019-10-28,623668
17.0,17.155,16.66,16.96,2019-10-29,725856
17.1,17.24,16.52,16.95,2019-10-30,910128
16.72,17.15,16.49,17.03,2019-10-31,833060
15.63,16.894,15.52,16.8,2019-11-01,1533289
16.79,16.8,15.83,15.9,2019-11-04,1283735
16.89,17.72,16.71,16.94,2019-11-05,1710483
16.13,17.49,16.05,16.83,2019-11-06,1532708
17.4901,17.6084,16.2801,16.33,2019-11-07,1994519
17.47,17.5,17.11,17.25,2019-11-08,964059
17.38,17.52,17.2,17.33,2019-11-11,928735
17.99,18.1,17.3025,17.34,2019-11-12,1943349
18.28,18.5,17.71,18.0,2019-11-13,1981751
18.35,18.5,17.91,18.16,2019-11-14,1510606
19.37,19.43,18.35,18.39,2019-11-15,1848613
19.45,19.45,18.67,19.21,2019-11-18,898942
19.41,19.87,19.0824,19.27,2019-11-19,1112584
20.17,20.4,19.35,19.38,2019-11-20,2149734
20.2,20.32,19.69,19.98,2019-11-21,1189787
20.7,20.73,19.86,20.07,2019-11-22,1416776
19.99,21.0,19.95,20.9,2019-11-25,1900509
20.29,20.65,19.82,20.0,2019-11-26,1503335
20.36,20.7,19.99,20.28,2019-11-27,1533901
20.33,20.93,20.28,20.6,2019-11-29,1175316
19.77,20.54,19.6,20.3,2019-12-02,1157298
21.2537,21.37,19.41,19.48,2019-12-03,1775039
21.26,21.47,20.9325,21.0,2019-12-04,1264527
20.63,21.5,20.57,21.49,2019-12-05,1063555
18.93,21.04,18.82,20.78,2019-12-06,3482779
18.82,19.3,18.67,19.07,2019-12-09,2524618
18.87,19.09,18.58,18.78,2019-12-10,1597539
18.64,19.11,18.53,19.03,2019-12-11,1187394
18.45,19.045,18.32,18.56,2019-12-12,1290666
18.6,18.72,18.32,18.47,2019-12-13,1250824
18.5,18.97,18.22,18.6,2019-12-16,1611074
18.43,18.7,18.31,18.54,2019-12-17,1510216
18.59,19.0,18.48,18.48,2019-12-18,1226864
19.41,19.67,18.5,18.58,2019-12-19,2051490
19.77,20.0,19.05,19.4,2019-12-20,3324292
19.71,19.85,19.34,19.79,2019-12-23,1269721
19.73,19.79,19.35,19.69,2019-12-24,452844
19.86,20.11,19.66,19.82,2019-12-26,686358
19.52,20.0,19.25,19.99,2019-12-27,963561
19.05,19.94,18.94,19.54,2019-12-30,1084490
19.56,19.64,18.96,18.96,2019-12-31,985483
19.23,19.81,18.88,19.57,2020-01-02,1095636
18.89,19.36,18.72,19.02,2020-01-03,895895
18.12,18.76,18.01,18.7,2020-01-06,1226236
17.81,18.205,17.68,18.15,2020-01-07,1253549
17.96,18.08,17.76,17.99,2020-01-08,858709
18.403,18.55,17.9,18.0,2020-01-09,1082330
19.12,21.0,19.05,21.0,2020-01-10,4303154
20.26,20.36,18.6,19.26,2020-01-13,1943522
19.99,20.4979,19.55,20.45,2020-01-14,1261908
20.24,20.58,19.94,19.94,2020-01-15,1545503
21.01,21.87,20.77,21.68,2020-01-16,4633333
20.65,21.5,20.55,21.5,2020-01-17,3180222
20.94,21.49,20.645,20.79,2020-01-21,4002059
21.97,23.2,21.7,22.08,2020-01-22,18821059
21.48,22.65,21.4,22.17,2020-01-23,6809082
21.11,21.8793,20.9,21.6,2020-01-24,4771054
22.71,23.12,21.12,22.1,2020-01-27,9154806
22.35,23.5,21.8501,23.5,2020-01-28,5179109
20.53,22.34,20.45,22.23,2020-01-29,4238014
20.98,21.74,20.8,21.05,2020-01-30,2613868
20.52,21.32,20.05,21.14,2020-01-31,2661333
20.38,21.06,19.7,20.66,2020-02-03,2951811
20.87,20.88,19.75,20.09,2020-02-04,1594769
20.04,21.2,19.67,20.99,2020-02-05,2435015
19.88,20.32,19.7,20.27,2020-02-06,1733849
23.23,23.39,19.79,19.79,2020-02-07,9782640
23.63,23.95,22.3832,23.5,2020-02-10,8678779
21.35,22.74,21.28,22.09,2020-02-11,6092938
19.01,19.67,18.5,19.64,2020-02-12,17311197
19.04,19.8,18.89,19.36,2020-02-13,6647867
19.0,19.29,18.85,19.27,2020-02-14,4201936
18.915,19.35,18.57,19.14,2020-02-18,3873718
18.91,19.24,18.725,19.09,2020-02-19,3072383
18.539,19.17,18.42,18.86,2020-02-20,3348185
18.23,18.55,17.91,18.47,2020-02-21,3163694
18.56,19.28,18.3,19.23,2020-02-24,5092562
23.75,26.55,20.51,22.15,2020-02-25,62081056
29.16,29.98,27.08,29.05,2020-02-26,71255338
26.145,36.0,23.05,35.88,2020-02-27,64241810
25.95,25.95,22.015,23.38,2020-02-28,22715144
29.8701,30.75,25.21,27.0,2020-03-02,31719851
27.91,28.6,26.6,27.8035,2020-03-03,16250812
27.46,28.72,26.8,27.99,2020-03-04,11251011
28.0001,28.95,26.535,27.49,2020-03-05,16622635
29.61,29.8,27.67,27.98,2020-03-06,20634051
24.28,28.6999,24.16,28.58,2020-03-09,12590420
22.34,25.94,21.28,25.71,2020-03-10,12797964
23.6,25.7491,22.5235,22.54,2020-03-11,29115718
22.24,24.28,21.9,22.8997,2020-03-12,10739908
21.3,23.47,19.31,23.0,2020-03-13,11120313
26.44,27.8,22.22,23.76,2020-03-16,73407408
28.16,32.7,27.3148,29.36,2020-03-17,43747734
31.45,32.3,26.55,27.15,2020-03-18,22609801
28.27,34.98,25.19,32.78,2020-03-19,73657178
28.15,30.23,26.2,29.25,2020-03-20,15195900
26.53,29.81,26.25,28.71,2020-03-23,10887773
25.82,27.25,24.36,27.09,2020-03-24,12131667
27.13,27.98,24.79,25.0,2020-03-25,9462594
27.92,28.79,27.56,27.56,2020-03-26,5408629
30.05,31.09,27.95,28.37,2020-03-27,12133891
30.47,31.69,28.27,30.59,2020-03-30,20759908
29.95,30.98,29.2,30.6,2020-03-31,5579300
29.67,30.94,29.44,30.05,2020-04-01,6802935
33.195,33.39,29.84,30.6,2020-04-02,15378888
34.84,35.66,32.72,32.81,2020-04-03,16500540
34.63,35.185,33.33,34.91,2020-04-06,21067296
31.995,34.03,30.9801,33.81,2020-04-07,19529282
32.4,32.94,31.7501,32.36,2020-04-08,4009009
31.87,32.92,31.32,32.55,2020-04-09,4532909
32.89,32.98,31.71,32.0,2020-04-13,10143644
34.65,34.99,33.15,34.0,2020-04-14,15240930
37.25,38.45,33.72,34.64,2020-04-15,46015188
40.6,41.55,36.62,38.0735,2020-04-16,74328269
46.85,49.0,43.38,48.99,2020-04-17,91293307
51.68,54.95,44.51,45.0,2020-04-20,99801547
49.225,56.38,43.11,53.0,2020-04-21,155425399
51.09,51.82,49.06,50.61,2020-04-22,32442076
47.44,50.7,46.89,49.1,2020-04-23,58489632
50.5,50.5,47.1416,47.15,2020-04-24,33105730
48.05,51.7,47.3,51.53,2020-04-27,24555660
47.8,50.45,47.17,50.4,2020-04-28,12085401
46.36,46.9497,45.01,46.6,2020-04-29,10705136
45.94,48.37,45.82,46.78,2020-04-30,14693036
47.93,50.45,46.29,48.71,2020-05-01,20448475
50.5,50.5,48.0,48.05,2020-05-04,20162296
49.33,50.96,47.23,50.48,2020-05-05,10770778
48.95,49.25,47.5201,48.45,2020-05-06,12674670
53.19,55.99,51.06,55.78,2020-05-07,52262354
