date,datetime,desc,img,link,media,title
"Nov 2, 2019",2019-11-02,"Pfizer's next dividend payment will be US$0.4 per share. Last year, in total, the company distributed US$1.4 to shareholders. Last year's total dividend payments ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://simplywall.st/stocks/us/pharmaceuticals-biotech/nyse-pfe/pfizer/news/be-sure-to-check-out-pfizer-inc-nysepfe-before-it-goes-ex-dividend,Simply Wall St,Be Sure To Check Out Pfizer Inc. (NYSE:PFE) Before It Goes ...
"Nov 13, 2019",2019-11-13,Pfizer (NYSE: · The reason for the reduction was costs related to the company's acquisition of Array and expenses associated with the creation of Pfizer's new ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://investorplace.com/2019/11/should-investors-buy-pfizer-stock-before-next-years-huge-shake-up/,Investorplace.com,Should Investors Buy Pfizer Stock Before Next Year's Huge Shake Up?
"Nov 27, 2019",2019-11-27,"Bob Smith, senior vice president of Pfizer's global gene therapy business, acknowledged drugmakers take a “leap of faith” when they make big capital investment ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.reuters.com/article/us-genetherapy-novartis/pfizer-novartis-lead-2-billion-spending-spree-on-gene-therapy-production-idUSKBN1Y11DP,Reuters,"Pfizer, Novartis lead $2 billion spending spree on gene ..."
"Nov 12, 2019",2019-11-12,"(NYSE: PFE) today announced that the name of the new company to be formed by the planned combination of Mylan and Upjohn, a division of Pfizer, will be ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.businesswire.com/news/home/20191112005863/en/Mylan-and-Pfizer-Announce-Viatris-as-the-New-Company-Name-in-the-Planned-Mylan-Upjohn-Combination,Business Wire,Mylan and Pfizer Announce Viatris as the New Company ...
"Nov 18, 2019",2019-11-18,"AbbVie is preparing for the costly U.S. loss of Humira exclusivity in 2023, and now there's another pharma giant that has scored a biosimilar nod. Pfizer's ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.fiercepharma.com/pharma/pfizer-scores-fda-nod-for-biosim-to-abbvie-s-humira-but-it-ll-have-to-wait-til-2023-to,FiercePharma,"Pfizer scores FDA nod for biosim to AbbVie's Humira, but it'll ..."
"Nov 8, 2019",2019-11-08,Immuno-oncology agents have had little luck in stomach cancer and now Pfizer and Merck KGaA's Bavencio can tally up another failure against the ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.fiercepharma.com/pharma/pfizer-merck-kgaa-s-bavencio-flunks-study-hard-to-treat-gastric-cancer,FiercePharma,"Pfizer, Merck KGaA's Bavencio flunks study in hard-to-treat ..."
"Nov 13, 2019",2019-11-13,"The agreement grants Pfizer access to CENTOGENE's data repository, which may be used in the discovery and validation of novel genetic and biochemical ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.globenewswire.com/news-release/2019/11/13/1946085/0/en/CENTOGENE-Signs-Data-Access-and-Collaboration-Agreement-with-Pfizer-Inc.html,,CENTOGENE Signs Data Access and Collaboration ...
"Nov 19, 2019",2019-11-19,"Pfizer's final-stage testing of the drug was spread over about 50 sites, and in the small community of physicians who care for patients with the heart disease ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.bloomberg.com/news/articles/2019-11-19/heart-failure-drug-from-pfizer-attracts-new-critics-over-price,Bloomberg,Heart Failure Drug From Pfizer Attracts New Critics Over Price
"Nov 12, 2019",2019-11-12,"Major players in the market are Merck & Co, Meda Manufacturing GmbH, Pfizer, GlaxoSmithKline and Roche. The diuretic drugs market has been geographically ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.businesswire.com/news/home/20191112005910/en/The-World-Market-for-Diuretics-Drugs-2015-2030-Major-Players-are-Merck-Co-Meda-Manufacturing-Pfizer-GlaxoSmithKline-and-Roche---ResearchAndMarkets.com,,The World Market for Diuretics Drugs (2015-2030): Major ...
"Nov 14, 2019",2019-11-14,"Yet once Pfizer encountered difficulties, demand quickly outstripped supply. The pharma's problems appear to be close to resolution, with the company ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.biopharmadive.com/news/teva-vincristine-restart-production-shortage-pfizer/567284/,,Teva to restart production of cancer drug after shortages ...
"Nov 28, 2019",2019-11-28,Pfizer's Ibrance has been approved by the National Institute for Health and Care Excellence (NICE) in England through its Cancer Drugs Fund as a second-line ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",http://www.pmlive.com/pharma_news/pfizers_ibrance_scores_second-line_breast_cancer_approval_via_nices_cancer_drugs_fund_1318387,PMLiVE,Pfizer's Ibrance scores second-line breast cancer approval via ...
"Nov 28, 2019",2019-11-28,The National Institute for Health and Care Excellence has approved Pfizer's Ibrance (palbociclib) through the Cancer Drugs Fund (CDF) for use in combination ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://pharmafield.co.uk/pharma_news/nice-approves-pfizers-ibrance%E2%96%BC-via-cancer-drugs-fund/,Pharmafield,NICE approves Pfizer's IbranceÂ® via Cancer Drugs Fund
"Nov 28, 2019",2019-11-28,"Pfizer's Ibrance has been approved for use by the NHS in England as a second-line treatment for advanced breast cancer after hormonal therapy, catching up ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://pharmaphorum.com/news/nice-backs-ibrance-for-breast-cancer-via-cancer-drugs-fund/,,NICE backs Ibrance for breast cancer via Cancer Drugs Fund -
"Nov 21, 2019",2019-11-21,"The US Food and Drug Administration (FDA) approved Pfizer's Humira (adalimumab) biosimilar, to be known as Abrilada, for all indications of the originator ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.biopharma-reporter.com/Article/2019/11/21/FDA-approves-Pfizer-s-Humira-biosimilar,BioPharma-Reporter.com,FDA approves Pfizer's Humira biosimilar
"Nov 12, 2019",2019-11-12,"Major players in the market are Bayer Healthcare, Pfizer, Sanofi, Johnson & Johnson and Novartis AG. The analgesics market has been geographically ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.globenewswire.com/news-release/2019/11/12/1945733/0/en/Global-Analgesics-Market-Report-2020-with-Profiles-on-Key-Players-Bayer-Healthcare-Pfizer-Sanofi-Johnson-Johnson-and-Novartis.html,,Global Analgesics Market Report 2020 with Profiles on Key ...
"Nov 15, 2019",2019-11-15,"European drug regulators have turned a temporary restriction on Pfizer's Xeljanz into a formal one. In a decision posted Friday, the European Medicines Agency ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.fiercepharma.com/marketing/pfizer-s-xeljanz-gets-ema-blood-clots-warning-following-fda-s-similar-move,FiercePharma,Pfizer's Xeljanz gets EMA blood clots warning following FDA's ...
"Nov 13, 2019",2019-11-13,"Under the terms of the deal, Centogene will help New York City-based Pfizer mine data from the repository, as well as substantiate the resulting data. In exchange, ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.genomeweb.com/informatics/pfizer-inks-deal-access-centogene-rare-disease-data,,Pfizer Inks Deal for Access to Centogene Rare Disease Data
"Nov 23, 2019",2019-11-23,"Pfizer (NYSE:PFE) is out to an early lead with Vyndaqel, a drug that treats cardiomyopathy caused by transthyretin (TTR)-mediated amyloidosis (ATTR-CM), ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.fool.com/investing/2019/11/23/watch-out-pfizer-this-2-billion-biotech-is-coming.aspx,Motley Fool,"Watch Out, Pfizer: This $2 Billion Biotech Is Coming for You"
"Nov 8, 2019",2019-11-08,"A little more than one year after Pfizer terminated its studies of PF-06252616 as a potential treatment for Duchene Muscular Dystrophy, Swiss pharma giant ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.biospace.com/article/roche-terminates-myostatin-inhibitor-for-dmd-one-year-after-pfizer-did-the-same/,BioSpace,Roche Terminates Myostatin Inhibitor for DMD One Year After ...
"Nov 13, 2019",2019-11-13,"Mylan, Pfizer Unveil Combined Company Name. Viatris will be the name of the Mylan-Upjohn combination company.","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.contractpharma.com/contents/view_breaking-news/2019-11-13/mylan-pfizer-unveil-combined-company-name/,Contract Pharma,"Mylan, Pfizer Unveil Combined Company Name"
"Nov 25, 2019",2019-11-25,"In October, GlobalData analyst Patrick Aiyes said in a release that the drug, following on Pfizer's current anti-inflammatory Xeljanz, could firm up Pfizer's hold on ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.barrons.com/articles/5-drugs-in-pfizers-pipeline-that-could-turn-the-stock-around-51574677815,Barron's,Pfizer Stock Upside Depends on 5 Drugs in Its Pipeline
"Nov 8, 2019",2019-11-08,"Pfizer's biopharmaceuticals business generated revenue of $10.1billion, up 9% on the same period last year. The firm cited products like Ibrance (palbociclib), ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://bioprocessintl.com/bioprocess-insider/therapeutic-class/pfizer-unveils-biosimilar-launch-plans-and-shares-view-on-us-market/,BioProcess Insider,Pfizer unveils biosimilar launch plans - Bioprocess InsiderBioProcess
"Nov 20, 2019",2019-11-20,"Pfizer's(NYSE: PFE) Rheumatoid Arthritis drug ~ Xeljanz ~ is a relatively small drug with sales of around $2 billion, and it accounts for around 4% of the total ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.forbes.com/sites/greatspeculations/2019/11/20/pfizers-xeljanz-in-the-crowded-rheumatoid-drugs-market/,Forbes,Pfizer’s Xeljanz In the Crowded Rheumatoid Drugs Market
