date,datetime,desc,img,link,media,title
"Dec 31, 2019",2019-12-31,Pfizer spokeswoman Amy Rose confirmed the company's planned price increases. She said the company plans to increase the list prices on around 27% of its ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.reuters.com/article/us-usa-healthcare-drugpricing-exclusive/exclusive-drugmakers-from-pfizer-to-gsk-to-hike-u-s-prices-on-over-200-drugs-idUSKBN1YZ1C4,Reuters,Exclusive: Drugmakers from Pfizer to GSK to hike U.S. prices ...
"Dec 17, 2019",2019-12-17,Pfizer Inc. confirmed that the U.S. Food and Drug Administration (FDA) has approved a supplemental new drug application to treat prostate cancer. The New ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.bizjournals.com/newyork/news/2019/12/17/pfizer-wins-fda-approval-for-first-and-only-oral.html,New York Business Journal,Pfizer wins FDA approval for 'first and only' oral treatment for prostate cancer drug
"Dec 16, 2019",2019-12-16,"Pfizer and Astellas' stalwart prostate cancer med Xtandi has watched as Johnson & Johnson's challenger, Erleada, picked up the lead in the metastatic, ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.fiercepharma.com/pharma/pfizer-astellas-xtandi-matches-j-j-s-rival-erleada-new-prostate-cancer-indication,FiercePharma,"Pfizer, Astellas' Xtandi matches J&J's rival Erleada with new ..."
"Dec 16, 2019",2019-12-16,"Pfizer said the FDA approved Xtandi to treat patients with metastatic castration-sensitive prostate cancer, or prostate cancer that spreads to other parts of the body ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.marketwatch.com/story/pfizer-stock-ticks-higher-on-new-fda-approval-for-prostate-cancer-drug-2019-12-16,MarketWatch,Pfizer stock ticks higher on new FDA approval for prostate cancer drug
"Dec 11, 2019",2019-12-11,Report published on satirical website claimed Pfizer spilled Viagra in a harbour · Fictitious farmer was quoted as saying his animals behaved like 'sex maniacs' ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.dailymail.co.uk/news/article-7781479/Pfizer-deny-bizarre-claim-sheep-went-sex-mad-week-Viagra-spilled-Irish-harbour.html,Daily Mail,Pfizer deny bizarre claim sheep went 'sex-mad for a week after Viagra spilled into Irish harbour'
"Dec 13, 2019",2019-12-13,"Pfizer Receives Positive CHMP Opinion for VYNDAQEL® for Use in Patients with Transthyretin Amyloid Cardiomyopathy, a Rare and Fatal Disease. —If approved ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.businesswire.com/news/home/20191213005202/en/Pfizer-Receives-Positive-CHMP-Opinion-for-VYNDAQEL%C2%AE-for-Use-in-Patients-with-Transthyretin-Amyloid-Cardiomyopathy-a-Rare-and-Fatal-Disease,Business Wire,Pfizer Receives Positive CHMP Opinion for VYNDAQEL® for ...
"Dec 18, 2019",2019-12-18,"Ian Read, Pfizer's executive chairman and former CEO, has been tapped as a board member for Viatris, the still-in-the-works Upjohn and Mylan merger. Also ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.fiercepharma.com/pharma/pfizer-s-ian-read-his-way-out-as-chairman-will-take-board-seat-at-generics-merger-viatris,FiercePharma,"Read may say goodbye to Pfizer, but he'll join the board at ..."
"Dec 23, 2019",2019-12-23,"FDA approves first generic of Bristol-Myers, Pfizer's blood thinner Eliquis. By Reuters Staff. 1 Min Read.","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.reuters.com/article/us-mylan-nl-fda-bristol-myers/fda-approves-first-generic-of-bristol-myers-pfizers-blood-thinner-eliquis-idUSKBN1YR20W,,"FDA approves first generic of Bristol-Myers, Pfizer's blood ..."
"Dec 2, 2019",2019-12-02,"Pfizer has a market capitalization of US$213b, so it's too big to fly under the radar. We'd expect to see both institutions and retail investors owning a portion of the ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://simplywall.st/stocks/us/pharmaceuticals-biotech/nyse-pfe/pfizer/news/what-kind-of-shareholder-appears-on-the-pfizer-inc-s-nysepfe-shareholder-register,Simply Wall St,What Kind Of Shareholder Appears On The Pfizer Inc.'s (NYSE ...
"Dec 16, 2019",2019-12-16,Pfizer Declares First-Quarter 2020 Dividend and Announces Upcoming Investor Day to Highlight Strength of Innovative R&D Pipeline. Board of Directors approves ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.businesswire.com/news/home/20191216005193/en/Pfizer-Declares-First-Quarter-2020-Dividend-and-Announces-Upcoming-Investor-Day-to-Highlight-Strength-of-Innovative-RD-Pipeline,,Pfizer Declares First-Quarter 2020 Dividend and Announces ...
"Dec 23, 2019",2019-12-23,(Nasdaq: SGMO) announced today the completion of the transfer to Pfizer of the SB-525 Hemophilia A gene therapy Investigational New Drug application (IND).,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.businesswire.com/news/home/20191223005185/en/Sangamo-Announces-Early-Completion-of-Transfer-to-Pfizer-of-SB-525-Hemophilia-A-Gene-Therapy-IND-and-an-Earned-25-Million-Milestone-Payment,,Sangamo Announces Early Completion of Transfer to Pfizer of ...
"Dec 23, 2019",2019-12-23,Winningham pointed to Pfizer's position as a global leader in the field of JAK inhibition and said the pharma powerhouse is “ideally positioned” to advance the ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.biospace.com/article/pfizer-strikes-deal-with-theravance-and-expands-its-jak-inhibitor-arsenal-/,BioSpace,Pfizer Strikes JAK Inhibitor Deal Worth Up to $250 Million With ...
"Dec 4, 2019",2019-12-04,"After all, Amgen and Pfizer are both facing key patent expirations heading into the 2020s, as well as an increasingly uncertain reimbursement landscape in the ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.fool.com/investing/2019/12/04/better-buy-amgen-vs-pfizer.aspx,Motley Fool,Better Buy: Amgen vs. Pfizer
"Dec 7, 2019",2019-12-07,Sangamo and Pfizer Announce Updated Phase 1/2 Results Showing Sustained Increased Factor VIII Activity Through 44 Weeks Following SB-525 Gene ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.businesswire.com/news/home/20191207005019/en/Sangamo-and-Pfizer-Announce-Updated-Phase-12-Results-Showing-Sustained-Increased-Factor-VIII-Activity-Through-44-Weeks-Following-SB-525-Gene-Therapy-Treatment,Business Wire,Sangamo and Pfizer Announce Updated Phase 1/2 Results ...
"Dec 25, 2019",2019-12-25,"Pfizer's year started with the ascension of a new CEO, Albert Bourla, a company lifer who had done time across the organization. He took over for Ian Read, who ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.barrons.com/articles/pfizer-stock-dow-2020-comeback-51576972241,Barron's,Pfizer Stock in 2019 Was Dismal. The Company Could Make a Comeback in 2020.
"Dec 16, 2019",2019-12-16,"... Federal Circuit Affirms Amgen's $70 Million Damages Award Against Pfizer Unit ... a subsidiary of Pfizer, regarding a biosimilar of Amgen's EPOGEN (epoetin ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.jdsupra.com/legalnews/breaking-news-federal-circuit-affirms-58938/,JD Supra,BREAKING NEWS: Federal Circuit Affirms Amgen’s $70 Million Damages Award Against Pfizer Unit
"Dec 4, 2019",2019-12-04,"Bpifrance and Pfizer Ventures co-led international investor syndicate --. Marseille, France, December 04, 2019, 6:45 AM CET – ImCheck Therapeutics, a biotech ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.globenewswire.com/news-release/2019/12/04/1955934/0/en/ImCheck-Raises-53-Million-Series-B-to-Advance-Clinical-Pipeline-of-Novel-Gamma-Delta-T-Cell-Focused-Antibodies-for-Cancer-and-Autoimmune-Diseases.html,GlobeNewswire,ImCheck Raises $53 Million Series B to Advance Clinical ...
"Dec 13, 2019",2019-12-13,"It's been a year of ups and downs for Pfizer's Xeljanz. But the New York drugmaker is hoping to close on a high note with help from the FDA, which Thursday ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.fiercepharma.com/marketing/pfizer-s-xeljanz-gets-convenience-boost-new-extended-release-approval,FiercePharma,Pfizer's Xeljanz gets convenience boost with new extended ...
"Dec 23, 2019",2019-12-23,"Pfizer and GSK charge Gavi, the Vaccine Alliance – a donor-funded organization that helps the poorest countries access vaccines – roughly $9 for each child to be ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.thepharmaletter.com/article/first-alternative-pneumonia-vaccine-breaks-pfizer-and-gsk-s-decades-long-stranglehold-says-msf,The Pharma Letter,First alternative pneumonia vaccine breaks Pfizer and GSK's ...
"Dec 10, 2019",2019-12-10,Pfizer Ventures is enthusiastic to support this emerging area through our investment in ImmunOs.” Tweet this. “Recent advances in the understanding of the innate ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.businesswire.com/news/home/20191210005042/en/ImmunOs-Therapeutics-AG-Raises-CHF-15M-in-Series-A-Financing-Co-led-by-Pfizer-Ventures-and-BioMedPartners-to-Advance-a-Novel-Immunotherapy-Agent-For-Cancer-Into-Human-Trials,Business Wire,ImmunOs Therapeutics AG Raises CHF 15M in Series A ...
